GCP Study Jam - Career Readiness Program,Venue: Tifac Core III Floor.Wanna become a cloud platform engineer? Here is the first step to become one! Exclusively sponsered by Google,Google Cloud Facilitators - Krunal and Nidhi,09-08-2019
Machine Learning Workshop,Venue: VV Auditorium.Ever wondered will we ever use the concepts studied in Maths? Join Us for the workshop,Vishal Anjeneyulu,31-03-2019
